Accession_ENSEMBL,Rob_Transcript_Class,Symbol
ENSMUST00000164848.1,5,Siah3
ENSMUST00000118498.6,5,Ncln
ENSMUST00000096572.1,5,2900055J20Rik
ENSMUST00000021734.7,5,Gng4
ENSMUST00000000646.12,5.2,Sez6
ENSMUST00000026698.7,5.2,Podxl
ENSMUST00000112629.6,5.2,Nr4a2
ENSMUST00000019514.9,5.2,Calm3
ENSMUST00000020027.9,5.2,Serinc1
ENSMUST00000022629.8,5.2,Dpysl2
ENSMUST00000113585.7,5.2,Mgll
ENSMUST00000030763.11,5.2,Cdk14
ENSMUST00000001845.10,5.2,Capns1
ENSMUST00000117785.6,5.2,Robo2
ENSMUST00000115841.8,5.2,Rbfox1
ENSMUST00000096259.4,5.2,Gng3
ENSMUST00000074352.9,5.2,Osbpl1a
ENSMUST00000153060.6,5.2,Rit2
ENSMUST00000028102.12,5.2,Kif5c
ENSMUST00000082424.9,5.2,Sepp1
ENSMUST00000069005.8,5.2,Fam49a
ENSMUST00000056521.10,5.2,2900011O08Rik
ENSMUST00000185234.1,5.2,Scg2
ENSMUST00000115662.7,5.2,Pcdha2
ENSMUST00000072671.12,5.2,Nrxn1
ENSMUST00000102817.4,5.2,Gap43
ENSMUST00000081265.10,5.2,Ebf1
ENSMUST00000115243.7,5.2,Opcml
ENSMUST00000056427.8,5.2,Tubb2a
ENSMUST00000113707.7,5.2,Tpm1
ENSMUST00000068261.8,5.2,Atp6v1g2
ENSMUST00000044895.10,5.2,Rcan2
ENSMUST00000059539.4,5.2,Nap1l5
ENSMUST00000046390.12,5.2,Myo1b
ENSMUST00000096057.4,5.2,Tagln3
ENSMUST00000093165.10,5.2,Cyfip2
ENSMUST00000021554.13,5.2,Actn1
ENSMUST00000107749.2,5.2,Gabbr2
ENSMUST00000100244.8,5.2,Olfm1
ENSMUST00000049784.14,5.2,Myt1l
ENSMUST00000123128.6,5.2,Myo5a
ENSMUST00000003501.7,5.2,Elavl3
ENSMUST00000025110.3,5.2,Syt4
ENSMUST00000034756.13,5.2,Anxa2
ENSMUST00000034830.8,5.2,Crabp1
ENSMUST00000112371.7,5.2,Scn1a
ENSMUST00000044155.13,5.2,Ubash3b
ENSMUST00000114268.4,5.2,Snca
ENSMUST00000026985.8,5.2,Cplx2
ENSMUST00000113459.1,5.2,Nrxn2
ENSMUST00000121820.7,5.2,Spock2
ENSMUST00000037636.3,5.2,Ina
ENSMUST00000028377.12,5.2,Scn2a1
ENSMUST00000020537.7,5.2,Nsg2
ENSMUST00000114158.7,5.2,Crmp1
ENSMUST00000094934.9,5.2,Gad1
ENSMUST00000023341.13,5.2,Cd200
ENSMUST00000019290.2,5.2,Cacng2
ENSMUST00000166126.5,5.2,Pcdh10
ENSMUST00000118426.6,5.2,Stmn4
ENSMUST00000160433.1,5.2,Kcnc1
ENSMUST00000024805.12,5.2,Cpne5
ENSMUST00000110193.7,5.2,Tfap2a
ENSMUST00000074225.9,5.2,Cpne6
ENSMUST00000033882.8,5.2,Chrna6
ENSMUST00000038409.10,5.2,Podxl2
ENSMUST00000025477.12,5.2,St8sia3
ENSMUST00000001147.4,5.2,Col6a1
ENSMUST00000195355.1,5.2,Pcdh8
ENSMUST00000191794.1,5.3,Pcdh18
ENSMUST00000123434.2,5.3,Pirt
ENSMUST00000007236.4,6,Syngr3
ENSMUST00000036631.12,6,Dusp26
ENSMUST00000198258.3,6,Qdpr
ENSMUST00000156068.2,6,6330403K07Rik
ENSMUST00000073339.6,6,Pgrmc1
ENSMUST00000196058.3,6,Sox2ot
ENSMUST00000114259.2,6,Ptgds
ENSMUST00000099151.5,6,Sox2
ENSMUST00000171533.6,6,Nrep
ENSMUST00000114382.1,6,Gm1673
ENSMUST00000050772.7,6,Slc22a17
ENSMUST00000021519.6,6,Six6
ENSMUST00000028356.8,6,Cd302
ENSMUST00000028999.10,6,Pkia
ENSMUST00000110128.4,6,Dtnbp1
ENSMUST00000029441.3,6,Syt10
ENSMUST00000071858.3,6,Hpcal1
ENSMUST00000067602.3,6,Ncam2
ENSMUST00000057866.11,6,Nrsn1
ENSMUST00000063838.9,6,Fam49b
ENSMUST00000065856.6,6,Hunk
ENSMUST00000117805.6,6,Gng7
ENSMUST00000072519.5,6,Elmo1
ENSMUST00000016023.8,6,Fam184b
ENSMUST00000107679.6,6,Fbxw7
ENSMUST00000054484.13,6,Slc4a10
ENSMUST00000037974.8,6,Ptprm
ENSMUST00000046513.8,6,Phyhipl
ENSMUST00000046746.8,6,Igfbp7
ENSMUST00000059562.12,6,Lhfp
ENSMUST00000115556.6,6,Dync1i1
ENSMUST00000043111.6,6,Edil3
ENSMUST00000022013.7,6,Adcy2
ENSMUST00000082432.3,6,Dio2
ENSMUST00000034630.13,6,Fez1
ENSMUST00000177371.6,6,Asap1
ENSMUST00000050183.6,6,Uaca
ENSMUST00000039744.11,6,Lnx1
ENSMUST00000178799.6,6,Cacnb4
ENSMUST00000107263.7,6,Grm5
ENSMUST00000166468.1,6,Ptprk
ENSMUST00000193597.1,6,Gucy1b3
ENSMUST00000041606.12,6,Necab1
ENSMUST00000162085.1,6,Tmem191c
ENSMUST00000042352.9,6,Zmat4
ENSMUST00000030036.5,6,Brinp1
ENSMUST00000029355.8,6,Ppm1l
ENSMUST00000006761.8,6,Runx1t1
ENSMUST00000094807.5,6,Pnmal2
ENSMUST00000060369.3,6,Nxph1
ENSMUST00000043884.4,6,Lrrn3
ENSMUST00000041099.4,6,Neurod1
ENSMUST00000115103.7,6,Gria3
ENSMUST00000038213.12,6,Stxbp5
ENSMUST00000108661.6,6,Chd3
ENSMUST00000060303.9,6,Tshz1
ENSMUST00000033489.7,6,Praf2
ENSMUST00000036825.12,6,Sncb
ENSMUST00000191837.4,6,Pcdh7
ENSMUST00000033828.5,6,Gas6
ENSMUST00000120531.6,6,Stxbp6
ENSMUST00000042868.4,6,Camk4
ENSMUST00000025830.7,6,Apba1
ENSMUST00000109686.3,6,Neto2
ENSMUST00000006912.10,6,Pip4k2a
ENSMUST00000098696.8,6,Psd3
ENSMUST00000049230.10,6,Kcnab1
ENSMUST00000053413.11,6,Cdk5r1
ENSMUST00000025363.5,6,Hbegf
ENSMUST00000075316.8,6,Gria2
ENSMUST00000025402.12,6,Gnal
ENSMUST00000034912.5,6,Rasgrf1
ENSMUST00000036315.14,6,Gria1
ENSMUST00000044306.11,6,Grm1
ENSMUST00000064517.7,6,Serp2
ENSMUST00000070725.9,6,Gabrg2
ENSMUST00000025503.8,6,Isoc1
ENSMUST00000017288.7,6,Rnd3
ENSMUST00000144270.6,6,Kit
ENSMUST00000108682.7,6,Gas7
ENSMUST00000164375.2,6,Zyx
